Author,Cancer,Cell Line,Coumarin,Dose,Time,Viability
Abolhassani et al.,prostate,PC-3,Auraptene,5.0,48,93.33
Abolhassani et al.,prostate,PC-3,Auraptene,10.0,48,94.5
Abolhassani et al.,prostate,PC-3,Auraptene,20.0,48,92.15
Abolhassani et al.,prostate,PC-3,Auraptene,40.0,48,85.88
Abolhassani et al.,prostate,PC-3,Auraptene,80.0,48,65.88
Abolhassani et al.,prostate,PC-3,Auraptene,5.0,72,93.72
Abolhassani et al.,prostate,PC-3,Auraptene,10.0,72,85.88
Abolhassani et al.,prostate,PC-3,Auraptene,20.0,72,83.13
Abolhassani et al.,prostate,PC-3,Auraptene,40.0,72,76.86
Abolhassani et al.,prostate,PC-3,Auraptene,80.0,72,64.31
Abolhassani et al.,prostate,PC-3,Auraptene,5.0,96,92.94
Abolhassani et al.,prostate,PC-3,Auraptene,10.0,96,85.49
Abolhassani et al.,prostate,PC-3,Auraptene,20.0,96,81.56
Abolhassani et al.,prostate,PC-3,Auraptene,40.0,96,78.43
Abolhassani et al.,prostate,PC-3,Auraptene,80.0,96,49.41
Abolhassani et al.,prostate,PC-3,Auraptene,5.0,120,86.66
Abolhassani et al.,prostate,PC-3,Auraptene,10.0,120,81.17
Abolhassani et al.,prostate,PC-3,Auraptene,20.0,120,77.64
Abolhassani et al.,prostate,PC-3,Auraptene,40.0,120,73.72
Abolhassani et al.,prostate,PC-3,Auraptene,80.0,120,42.35
Abolhassani et al.,prostate,PC-3,Auraptene,5.0,144,79.6
Abolhassani et al.,prostate,PC-3,Auraptene,10.0,144,76.47
Abolhassani et al.,prostate,PC-3,Auraptene,20.0,144,73.72
Abolhassani et al.,prostate,PC-3,Auraptene,40.0,144,70.58
Abolhassani et al.,prostate,PC-3,Auraptene,80.0,144,34.9
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,16.7,24,99.25
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,67.0,24,99.04
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,134.0,24,97.71
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,33.5,48,96.98
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,67.0,48,84.53
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,134.0,48,76.37
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,67.0,72,87.02
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,134.0,72,75.27
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,16.7,96,80.24
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,33.5,96,78.18
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,67.0,96,62.05
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,134.0,96,45.63
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,16.7,120,91.8
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,33.5,120,82.35
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,67.0,120,60.04
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,134.0,120,47.54
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,16.7,144,88.86
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,33.5,144,78.25
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,67.0,144,56.34
Bagheri et al.,leukemia:lymphoma,MT-2,Auraptene,134.0,144,40.24
Charmforoshan et al.,breast,MCF-7,Auraptene,103.8,48,75.0
Charmforoshan et al.,breast,MCF-7,Auraptene,207.7,48,49.24
Charmforoshan et al.,breast,MCF-7,Auraptene,415.5,48,30.8
Charmforoshan et al.,breast,MCF-7,Auraptene,838.0,48,16.16
Epifano et al.,colon,HCT-116,Auraptene,2.5,72,86.41
Epifano et al.,colon,HCT-116,Auraptene,5.0,72,84.9
Epifano et al.,colon,HCT-116,Auraptene,10.0,72,70.18
Epifano et al.,colon,HCT-116,Auraptene,20.0,72,56.6
Epifano et al.,colon,HCT-116,Auraptene,40.0,72,45.66
Epifano et al.,colon,HT-29,Auraptene,2.5,72,90.94
