Author,Cancer,Cell Line,Coumarin,Dose,Time,Viability,SD,Unit
Chou 2007,cervix,Hela,Osthole,13.0,48h,96.0,± 6,µM
Chou 2007,cervix,Hela,Osthole,25.0,48h,84.0,± 9,µM
Chou 2007,cervix,Hela,Osthole,50.0,48h,63.0,± 9,µM
Chou 2007,cervix,Hela,Osthole,100.0,48h,20.0,± 10,µM
Chou 2007,cervix,Hela,Osthole,200.0,48h,0.0,± 0,µM
Chou 2007,cervix,Hela,Osthole,13.0,24h,100.0,± 2,µM
Chou 2007,cervix,Hela,Osthole,25.0,24h,100.0,± 0,µM
Chou 2007,cervix,Hela,Osthole,50.0,24h,100.0,± 0,µM
Chou 2007,cervix,Hela,Osthole,100.0,24h,86.0,± 1,µM
Chou 2007,cervix,Hela,Osthole,200.0,24h,8.0,± 0,µM
Jiang 2016,ovarian,A2780,Osthole,20.0,48h,72.0,± 5,µM
Jiang 2016,ovarian,A2780,Osthole,40.0,48h,58.0,± 5,µM
Jiang 2016,ovarian,A2780,Osthole,80.0,48h,43.0,± 3,µM
Jiang 2016,ovarian,A2780,Osthole,120.0,48h,30.0,± 3,µM
Jiang 2016,ovarian,A2780,Osthole,160.0,48h,22.0,± 3,µM
Jiang 2016,ovarian,A2780,Osthole,200.0,48h,17.0,± 3,µM
Jiang 2016,ovarian,A2780,Osthole,20.0,24h,91.0,± 3,µM
Jiang 2016,ovarian,A2780,Osthole,40.0,24h,80.0,± 3,µM
Jiang 2016,ovarian,A2780,Osthole,80.0,24h,71.0,± 0,µM
Jiang 2016,ovarian,A2780,Osthole,120.0,24h,55.0,± 5,µM
Jiang 2016,ovarian,A2780,Osthole,160.0,24h,39.0,± 5,µM
Jiang 2016,ovarian,A2780,Osthole,200.0,24h,27.0,± 3,µM
Liu 2022,breast,MDA-MB-231,Osthole,0.1,48h,100.8,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,1.0,48h,99.5,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,5.0,48h,97.5,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,10.0,48h,96.2,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,20.0,48h,88.7,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,50.0,48h,65.5,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,100.0,48h,42.4,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,50.0,12h,94.0,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,50.0,24h,85.0,± 6,µM
Liu 2022,breast,MDA-MB-231,Osthole,50.0,72h,52.0,± 5,µM
Yang 2010,breast,MDA-MB-231,Osthole,20.0,24h,94.6,± 4,µM
Yang 2010,breast,MDA-MB-231,Osthole,40.0,24h,92.6,± 8,µM
Yang 2010,breast,MDA-MB-231,Osthole,60.0,24h,92.6,± 8,µM
Yang 2010,breast,MDA-MB-231,Osthole,80.0,24h,91.2,± 7,µM
Yang 2010,breast,MDA-MB-231,Osthole,100.0,24h,90.7,± 8,µM
Yang 2010,breast,MCF-7,Osthole,20.0,24h,98.1,± 2,µM
Yang 2010,breast,MCF-7,Osthole,40.0,24h,96.2,± 2,µM
Yang 2010,breast,MCF-7,Osthole,60.0,24h,93.2,± 1,µM
